id,phase,title,depends_on,relative_size,implementation_scope,acceptance,status
Q10,3,Unify selection and bounded bulk action behavior,Q02;Q05,L,"Selection policy, target summaries, ordinary server validation, aggregate feedback.",Stale/replaced/hidden targets do not broaden operation; batch size bounded; partial failures visible.,Done
Q11,3,Add bounded recent and favorite counters/tokens,Q04;Q09,M,Extend existing counter shortcuts; store safe names/printing references; server-specific scoping.,"Restart persistence, missing token, custom-ID scope and server switching tested; no retained instance IDs.",Done - pinned favorites added; remembered counter names are finally offered (they were written to disk and read by nobody); 5 in-world tests
Q12,3,Compare frequent-action workflows against baseline,Q01;Q09;Q10;Q11,S,Repeat five tasks and revise the controls that add friction.,Before/after gesture/time observations reported; improvements not inferred from feature count.,Not started
Q13,4,Improve ownership/counter readability and scalable layout,Q01;Q04,L,"Owner/controller labels, non-color cues, independent text/control scales, shared render/pick geometry.","Small windows, large settings, translations and both board views remain usable.","Done - owner badges where control and ownership differ, a non-color SeatMark beside every seat's colour, and independent text/control scales that now actually work; render and pick geometry were already shared"
Q14,4,Add accessible overlap and pile inspection,Q03;Q13,M,Local chooser/fan view for authorized visible cards; keyboard and pointer selection.,Bottom visible card reachable; no silent moves or hidden-identity disclosure.,"Done - a chooser lists every card this player may read under the cursor, reachable by menu, palette search or a bound key; a face-down card carries no id by design and so cannot be singled out"
Q15,4,Add explicit arrange-selection preview and apply,Q10;Q13,L,Deterministic core layout using current positions and attachment groups; cancelable local preview.,Server revalidates on apply; identities/count/rotation/attachments preserved; cannot silently reorder others.,"Done - ArrangeSelection plans in core (12 unit tests); the plan is previewed as outlines, Enter applies it as ordinary per-card moves the server revalidates, Escape drops it"
Q16,4,Run crowded-board interaction checks,Q13;Q14;Q15,M,Four-seat fixtures and near-limit workload with screenshots plus actual picking/actions.,Labels/selection inspectable; geometry agrees; frame-time comparison and limits documented.,Not started
Q17,5,Define progression milestones and opt-in server profiles,Q00;Q01,M,"Reuse current settings; profiles for casual collection, long-running collection and imported play.",Profile diff/apply/restore behavior documented; existing world defaults and inventories preserved.,Not started
Q18,5,Add target-deck collection guidance,Q17,L,Reuse want lists and builder counts; owned/missing/spare counts and truthful configured acquisition hints.,Printing vs card identity explicit; sources unknown/disabled handled; private inventories/loot never exposed.,Not started
Q19,5,Playtest and tune collection journey,Q17;Q18,M,Fresh-player and established-player manual/local metrics; optional starter/precon routes; no new salvage currency.,First-game and first-owned-deck outcomes distinguished; observed rates or unmeasured status published.,Not started
Q20,6,Specify minimal common reward data contract,Q00;Q17,M,"Extend sealed-product entry/shared product definitions; bounded fields, server precedence and reload policy.",Schema validated against actual 1.21.1 codecs; no arbitrary code/URLs; errors identify resource and field.,Not started
Q21,6,Implement safe reward loading and loader adapters,Q20,L,Atomic definition snapshots; optional mod conditions; cache-ready loot/recipe behavior and grant identity.,Absent dependencies load; invalid reload preserves prior valid snapshot; no blocking HTTP or duplicate grants.,Not started
Q22,6,Ship verified optional Cataclysm reward example,Q21,M,Separate additive example pack against verified installed encounter/loot IDs.,"Exact version/IDs documented; one intended award path; repeatability, disable and reload tested.",Not started
Q23,6,Ship verified optional Create production example,Q21,L,Separate example recipe pack or minimal adapter; bounded costs and correct output components.,Automation/partial/full-output/repeat tests pass; no consumed-input empty result; no accidental resource loop.,Not started
Q24,6,Publish pack-author integration guide and compatibility matrix,Q22;Q23,M,"Working examples, schema limits, reload policy, exact loader/mod versions and absent-mod cases.",Generic Fabric/NeoForge support distinguished from loader-specific examples; Aeronautics separately tested or unverified.,Not started
Q25,7,Refine existing sounds and event aggregation,Q04;Q05;Q10,M,"Local volume/mute/preview, cue map, deduplication and quiet positional behavior using existing sounds.",Batch/snapshot/replay/neighbor-table cases do not spam; hidden information not encoded into sound.,Partial - the sound toggle and volume are real now (both were dead); no sound refinement or event aggregation yet
Q26,7,"Complete motion, inspection and keyboard accessibility",Q03;Q04;Q07;Q14,L,"Reduced flights/tilt/transitions, effect intensity, hold-toggle inspect, focus/narration and consistent Escape.","Tutorial and frequent tasks complete keyboard-only, muted and reduced-motion; no texture edits.","Partial - reduced motion, hold-or-press to inspect, effect intensity and the turn notification are real now (all four were dead); narration and full keyboard access not started"
Q27,7,Run integrated release acceptance and handoff,Q08;Q12;Q16;Q19;Q24;Q25;Q26,L,Current verify/static gates; actual clients; four-human session; copied-save/config upgrade; texture hash check.,Six-feature acceptance matrix with evidence; automated/human/modpack results distinct; remaining limits candid.,Not started
